Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Unidad;Estado dato
1993;Total esposos de matrimonios de distinto sexo residentes;Otros;;;26707;Número;
1993;Esposos al primer  matrimonio de distinto sexo residentes;Otros;;;24712;Número;
1993;Total esposas de matrimonios de distinto sexo residentes;Otros;;;26536;Número;
1993;Nacimientos de hombres residentes;Otros;;;25528;Número;
1993;Nacimientos de mujeres residentes;Otros;;;23971;Número;
1993;Total defunciones de residentes;Otros;;;35666;Número;
1993;Defunciones de residentes hombres;Otros;;;19121;Número;
1993;Matrimonios de residentes del mismo sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1994;Defunciones de residentes hombres;Otros;;;18963;Número;
1994;Matrimonios de residentes de distinto sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;27013;Número;
1994;Total defunciones de residentes;Otros;;;35682;Número;
1994;Matrimonios entre mujeres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1994;Nacimientos de mujeres residentes;Otros;;;22906;Número;
1994;Defunciones de residentes mujeres;Otros;;;16719;Número;
1994;Total nacimientos de residentes;Otros;;;47687;Número;
1994;Matrimonios entre hombres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1994;Total esposas de matrimonios de distinto sexo residentes;Otros;;;26162;Número;
1994;Esposas al primer matrimonio de distinto sexo residentes;Otros;;;24817;Número;
1994;Esposos al primer  matrimonio de distinto sexo residentes;Otros;;;24230;Número;
1994;Matrimonios de residentes del mismo sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1994;Total esposos de matrimonios de distinto sexo residentes;Otros;;;26248;Número;
1994;Nacimientos de hombres residentes;Otros;;;24781;Número;
1995;Total defunciones de residentes;Otros;;;36477;Número;
1995;Nacimientos de mujeres residentes;Otros;;;22685;Número;
1995;Nacimientos de hombres residentes;Otros;;;24321;Número;
1995;Total esposas de matrimonios de distinto sexo residentes;Otros;;;26235;Número;
1995;Esposos al primer  matrimonio de distinto sexo residentes;Otros;;;24499;Número;
1995;Total esposos de matrimonios de distinto sexo residentes;Otros;;;26454;Número;
1995;Matrimonios de residentes de distinto sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;27065;Número;
1995;Defunciones de residentes mujeres;Otros;;;16953;Número;
1995;Esposas al primer matrimonio de distinto sexo residentes;Otros;;;24965;Número;
1995;Total nacimientos de residentes;Otros;;;47006;Número;
1995;Matrimonios entre hombres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1995;Matrimonios entre mujeres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1995;Defunciones de residentes hombres;Otros;;;19524;Número;
1995;Matrimonios de residentes del mismo sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1996;Esposas al primer matrimonio de distinto sexo residentes;Otros;;;23896;Número;
1996;Defunciones de residentes mujeres;Otros;;;17440;Número;
1996;Matrimonios de residentes de distinto sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;25874;Número;
1996;Total esposos de matrimonios de distinto sexo residentes;Otros;;;25139;Número;
1996;Esposos al primer  matrimonio de distinto sexo residentes;Otros;;;23405;Número;
1996;Total esposas de matrimonios de distinto sexo residentes;Otros;;;24977;Número;
1996;Nacimientos de hombres residentes;Otros;;;24265;Número;
1996;Nacimientos de mujeres residentes;Otros;;;23226;Número;
1996;Total defunciones de residentes;Otros;;;36811;Número;
1996;Defunciones de residentes hombres;Otros;;;19371;Número;
1996;Matrimonios de residentes del mismo sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1996;Matrimonios entre mujeres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1996;Matrimonios entre hombres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1996;Total nacimientos de residentes;Otros;;;47491;Número;
1997;Matrimonios entre mujeres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1997;Nacimientos de hombres residentes;Otros;;;25120;Número;
1997;Nacimientos de mujeres residentes;Otros;;;23606;Número;
1997;Total esposas de matrimonios de distinto sexo residentes;Otros;;;25664;Número;
1997;Esposos al primer  matrimonio de distinto sexo residentes;Otros;;;24198;Número;
1997;Total defunciones de residentes;Otros;;;35691;Número;
1997;Esposas al primer matrimonio de distinto sexo residentes;Otros;;;24417;Número;
1997;Total nacimientos de residentes;Otros;;;48726;Número;
1997;Matrimonios de residentes del mismo sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1997;Matrimonios de residentes de distinto sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;26500;Número;
1997;Matrimonios entre hombres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1997;Defunciones de residentes hombres;Otros;;;18695;Número;
1997;Total esposos de matrimonios de distinto sexo residentes;Otros;;;25928;Número;
1997;Defunciones de residentes mujeres;Otros;;;16996;Número;
1998;Nacimientos de hombres residentes;Otros;;;25238;Número;
1998;Esposos al primer  matrimonio de distinto sexo residentes;Otros;;;26300;Número;
1998;Total esposos de matrimonios de distinto sexo residentes;Otros;;;28117;Número;
1998;Matrimonios de residentes de distinto sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;28792;Número;
1998;Defunciones de residentes mujeres;Otros;;;18087;Número;
1998;Esposas al primer matrimonio de distinto sexo residentes;Otros;;;26514;Número;
1998;Total esposas de matrimonios de distinto sexo residentes;Otros;;;27801;Número;
1998;Total nacimientos de residentes;Otros;;;48858;Número;
1998;Matrimonios entre hombres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1998;Matrimonios entre mujeres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1998;Matrimonios de residentes del mismo sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1998;Defunciones de residentes hombres;Otros;;;19623;Número;
1998;Total defunciones de residentes;Otros;;;37710;Número;
1998;Nacimientos de mujeres residentes;Otros;;;23620;Número;
1999;Total esposas de matrimonios de distinto sexo residentes;Otros;;;28088;Número;
1999;Defunciones de residentes hombres;Otros;;;19601;Número;
1999;Defunciones de residentes mujeres;Otros;;;18475;Número;
1999;Total nacimientos de residentes;Otros;;;51976;Número;
1999;Matrimonios de residentes del mismo sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1999;Esposas al primer matrimonio de distinto sexo residentes;Otros;;;26672;Número;
1999;Nacimientos de hombres residentes;Otros;;;26922;Número;
1999;Total defunciones de residentes;Otros;;;38076;Número;
1999;Matrimonios entre mujeres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1999;Total esposos de matrimonios de distinto sexo residentes;Otros;;;28367;Número;
1999;Nacimientos de mujeres residentes;Otros;;;25054;Número;
1999;Matrimonios entre hombres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1999;Esposos al primer  matrimonio de distinto sexo residentes;Otros;;;26540;Número;
1999;Matrimonios de residentes de distinto sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;29117;Número;
